Q1_01___1__Quality_of_local_fir,Q1_02___2__Quality_of_medical_r,Q1_03___3__Quality_of_local_pol,Q1_04___4__Enforcement_of_local,Q1_05___5__Efforts_by_the_City_,Q1_06___6__Overall_feeling_of_s,Q1_07___7__Feeling_of_safety_in,Q1_08___8__Quality_and_safety_o,Q2a_01___1__Neighborhood_parks_,Q2a_02___2__City_parks_like_Kiw,Q2a_03___3__Desert_parks_like_P,Q2a_04___4__City_athletic_and_r,Q2a_05___5__Tempe_Public_Librar,Q2a_06___6__City_Hall_,Q2a_07___7__Mill_Avenue_,Q2a_08___8__Businesses__theater,Q2a_09___9__Within_your_home_or,Q2b_01____10__Neighborhood_park,Q2b_02____11__City_parks_like_K,Q2b_03____12__Desert_parks_like,Q2b_04____13__City_athletic_and,Q2b_05____14__Tempe_Public_Libr,Q2b_06____15__City_Hall_,Q2b_07____16__Mill_Avenue_,Q2b_08____17__Businesses__theat,Q2b_09____18__Within_your_home_,Q3_01___1__Getting_mugged_,Q3_02___2__Having_your_home_bur,Q3_03___3__Being_attacked_or_th,Q3_04___4__Having_your_car_stol,Q3_05___5__Being_a_victim_of_id,Q4_01___1__Have_you_been_robbed,Q4_02___1a__Were_the_police_inf,Q4_03___2__Has_anyone_in_your_h,Q4_04___2a__Were_the_police_inf,Q4a_01_____Too_bus1_,Q4a_02_____Police_won_t_do_an2t,Q4a_05_____Nothing_could_be_don,Q4a_06_____Other_,Q6_01___1__The_overall_quality_,Q6_02___2__Leadership_of_the_Ci,Q6_13___13__Your_ability_to_par,Q6_14___14__The_accessibility_a,Q6_15___15__How_well_the_City_t,Q6_16___16__Overall_quality_of_,Q7_01___1__City_Council_Meeting,Q7_02___2__Boards__amp__Commiss,Q7_03___3__City_Elections__elec,Q7_04___4__Campaign_Finance_and,Q7_05___5__Open_Books__financia,Q7_06___6__Open_Data_,Q7_07___7__City_s_Performance_o,Q14_05___5__Quality_of_access_t,Q14_06___6__Quality_of_services,Q14_07___7__Quality_of_access_t,Q14_08___8__Quality_of_neighbor,Q14_09___9__Maintenance_of_City,Q14_10___10__Quality_of_larger_,Q14_11___11__Quality_of_City_re,Q14_12___12__Maintenance_and_ap,Q14_13___13__Quality_of_City_sw,Q14_14___14__Quality_of_City_ou,Q14_15___15__Quality_of_City_go,Q14_16___16__Quality_of_City_re,Q14_17___17__Quality_of_City_li,Q14_18___18__Quality_of_Tempe_C,Q14_19___19__Quality_of_Before_,Q14_20___20__Quality_of_youth_a,Q14_21___21__Quality_of_Tempe_C,Q14_22___22__Quality_of_Tempe_H,Q14_23___23__Quality_of_Tempe_P,Q14_24___24__Quality_of_Tempe_H,Q14_25___25__Quality_of_communi,Q14_26___26__Adequacy_of_street,Q14_27___27__Quality_of_landsca,Q14_28___28__Overall_condition_,Q14_29___29__Appearance_of_resi,Q14_30___30__Maintenance_of_pri,Q14_31___31__Condition_of_alley,Q14_32___32__City_enforcement_o,Q14_33___33__Overall_enforcemen,Q14_34___34__City_enforcement_o,Q14_35___35__City_enforcement_o,Q14_36___36__City_enforcement_o,Q14_37___37__City_efforts_to_en,Q14_38___38__City_efforts_to_en,Q14_39___39__City_efforts_to_en,Q14_40___40__The_value_of_Speci,Q14_41___41__Access_to_Human_se,Q14_42___42__Tempe_s_engagement,Q14_43___43__Residential_trash_,Q14_44___44__Residential_recycl,Q14_45___45__Bulk_trash_pickup_,Q15_01____Public_outdoor_places,Q15_02____Cit2_buildings_to_gat,Q15_03____Public_transportation,Q15_04____Housing_options_for_l,Q15_05____Opportunities_to_soci,Q15_06____Opportunities_for_eng,Q15_07____Work_opportunities_,Q15_08____Volunteer_opportuniti,Q15_09____Participate_in_commun,Q15_10____Communication_and_inf,Q16_01___1__The_direction_the_C,Q16_02___2__City_efforts_to_kee,Q16_03___3__The_City_s_financia,Q17_03___3__Condition_of_street,Q17_04___4__Condition_of_major_,Q17_05___5__Condition_and_clari,Q17_06___6__Management_of_traff,Q17_07___7__Quality_of_local_tr,Q17_08___8__Quality_of_walking_,Q17_09___9__Quality_of_recyclin,Q17_10___10__Quality_of_green_o,Q17_11___11__Overall_quality_of,Q17_12___12__Quality_of_your_in,Q17_13___13__Quality_of_water_c,Q17_14___14__Quality_of_energy_,Q17_15___15__Quality_of_land_us,Q17_16___16__Quality_of_climate,Q17_17___17__City_efforts_to_pr,Q17_18___18__City_enforcement_o,Q17_19___19__City_enforcement_o,Q17_20___20__City_efforts_to_en,Q17_21___21__City_efforts_to_en,Q17_22___22__Management_of_traf,Q20__Approximately_how_many_yea,Q21__What_is_your_age_,Q22__What_gender_do_you_identif,Q23_01____Ages_0_5__,Q23_02____Ages_6_13__,Q23_03____Ages_14_17__,Q23a_01____Public_School__,Q23a_02____Home_School__,Q23a_03____Charter_School__,Q23a_04____Private_School__,Q24_01___Asian_Pacific_Islander,Q24_02___White_,Q24_03___American_Indian_Eskimo,Q24_04___Black_African_American,Q24_05___Hispanic_Latino_Spanis,Q24_06___Other_,Q24_6__Please_describe_your_rac,Q25__Primary_language,Q25_3__Please_define_Other,Q26__Do_you_own_or_rent_your_cu,Q27__Does_your_home_have_an_all,Q28__Which_of_the_following_bes,Q29__Do_you_have_cable_televisi,Q30__Do_you_have_internet_acces,Q31__Do_you_have_a_Smart_Phone_,Q32__Are_you_a_full_time_studen,Q33__What_is_the_highest_level_,Q34__What_is_your_household_inc,Q35__Have_you_visited_Downtown_,Q36__Have_you_used_public_trans,Q37__Do_you__or_a_member_of_you,Character_Area_Code,Character_Area_Name,ObjectId
3,5,4,5,4,5,4,4,4,5,5,4,5,5,3,4,3,4,4,4,5,4,4,4,5,3,3,3,3,3,2,2,0,2,0,0,0,0,0,0,0,4,4,4,4,4,4,9,3,5,9,9,5,4,9,3,4,9,9,9,9,9,9,9,9,9,9,9,9,2,0,0,0,0,0,0,0,0,3,4,0,0,7,0,9,0,0,0,13,0,0,16,0,0,19,0,0,0,0,3,4,0,0,0,0, ,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,9,9,9,4,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,3,310
5,5,5,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,0,5,5,5,5,5,1,2,1,1,2,2,0,2,0,0,0,0,0,0,0,5,5,5,4,5,5,4,4,4,0,5,4,5,5,5,4,5,5,5,5,5,0,5,4,5,5,5,5,1,1,1,1,1,1,1,0,2,3,4,0,0,7,8,9,0,0,12,13,0,0,16,17,0,19,0,0,1,0,3,4,5,6,7,8,9,10,11,0,0,0,0,0,0,0,0,8,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,0,0,0,4,4,4,4,5,0,5,5,5,5,4,0,0,5,5,5,5,5,5,311
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,0,2,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,0,0,0,0,0,0,2,3,4,0,0,0,8,0,0,0,0,13,14,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,312
5,5,2,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,1,2,2,1,2,2,0,2,0,0,0,0,0,0,0,4,3,4,4,4,4,3,4,4,5,5,4,2,3,1,4,3,3,3,2,3,9,9,9,9,9,9,9,1,1,1,9,9,1,1,0,0,3,4,0,0,0,8,9,0,0,0,0,14,0,0,0,0,19,0,0,0,0,3,0,0,0,7,0, ,0,0,12,1,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,9,9,9,4,4,4,4,4,9,9,4,9,5,4,9,9,4,4,4,4,9,4,313
5,5,2,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,1,2,2,1,2,2,0,2,0,0,0,0,0,0,0,4,3,4,4,4,4,3,4,4,5,5,4,2,3,1,4,3,3,3,2,3,9,9,9,9,9,9,9,1,1,1,9,9,1,1,0,0,3,4,0,0,0,8,9,0,0,0,0,14,0,0,0,0,19,0,0,0,0,3,0,0,0,7,0, ,0,0,12,1,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,9,9,9,4,4,4,4,4,9,9,4,9,5,4,9,9,4,4,4,4,9,4,314
9,9,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,2,0,2,0,0,0,0,0,0,0,4,3,9,3,4,4,9,3,3,4,9,3,3,9,9,3,9,9,4,9,9,9,9,9,0,0,0,0,1,1,1,1,1,1,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,0,0,0,3,4,0,0,0,0, ,0,11,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,9,9,3,3,3,9,9,9,9,9,9,4,9,9,9,9,9,4,9,9,2,315
5,3,2,3,2,3,3,4,5,5,4,9,4,9,3,4,3,9,9,9,9,9,9,3,4,2,2,3,1,3,1,2,0,2,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,4,9,4,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22,0,0,3,3,3,9,9,2,9,3,4,5,4,9,9,9,9,9,3,3,9,9,4,9,5,4,4,4,316
9,9,5,5,5,5,4,3,4,3,5,3,4,3,3,4,4,2,9,9,9,9,9,9,3,3,3,3,3,2,4,2,0,2,0,0,0,0,0,0,0,3,5,3,4,5,5,9,3,4,4,3,4,5,4,9,3,3,3,3,5,5,9,3,4,9,9,9,9,1,1,1,1,1,1,1,0,2,3,4,0,0,7,8,0,0,11,0,0,14,0,16,0,0,19,0,0,0,2,3,4,5,0,0,8,9,0,11,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,5,4,4,9,9,9,4,5,5,5,3,9,9,9,3,4,3,9,9,4,4,4,5,5,3,317
9,9,3,3,3,4,3,3,4,2,3,9,3,9,2,4,4,9,9,9,9,9,9,9,4,3,1,2,2,3,3,2,0,1,2,0,2,0,0,5,0,3,3,3,4,4,4,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,6,0,0,9,0,0,0,0,0,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,17,0,0,0,0,0,0,0,4,4,4,4,4,9,9,4,4,2,9,9,9,2,2,9,9,9,2,0,9,9,9,9,9,2,318
9,9,4,3,3,3,5,5,5,5,4,4,5,4,5,4,3,3,3,3,3,4,3,2,5,3,2,2,2,2,1,2,0,2,0,0,0,0,0,0,0,4,9,9,2,4,3,9,2,3,3,3,4,4,4,5,4,9,9,3,3,4,4,9,3,9,9,9,9,2,0,0,0,0,0,0,0,2,3,4,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,4,5,0,7,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,18,0,0,0,0,0,0,4,4,4,3,4,5,3,4,5,5,3,3,3,4,4,5,4,5,3,4,5,3,5,5,5,3,319
5,9,3,3,3,3,3,4,5,4,9,9,1,3,5,4,5,4,9,9,9,9,2,2,5,4,1,2,1,2,2,2,0,2,0,0,0,0,0,0,0,4,5,9,3,4,5,9,5,4,9,9,9,3,2,4,5,4,4,3,2,9,9,9,2,9,9,9,9,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,0,0,0,16,0,0,19,0,0,0,2,0,4,0,0,0,0,9,10,11,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,16,0,0,0,20,21,0,0,0,5,4,5,5,9,9,9,5,4,3,5,3,9,9,9,2,2,4,9,9,5,9,9,9,9,4,320
4,4,3,4,4,4,1,2,2,4,3,4,3,5,2,4,1,2,2,1,3,2,3,3,3,2,2,4,2,4,3,2,0,1,1,0,0,0,0,0,0,2,2,2,3,5,3,5,2,3,3,2,4,2,2,3,3,2,3,2,4,2,2,3,2,4,5,3,2,1,1,1,1,2,2,2,0,2,3,0,0,0,7,0,0,0,0,0,0,0,0,16,17,0,19,0,0,1,0,3,4,0,0,0,0, ,0,0,12,0,2,0,4,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,1,4,3,3,2,2,3,3,1,3,5,5,4,4,2,3,4,4,2,2,3,4,5,2,4,2,321
3,3,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,1,2,1,1,0,0,0,0,5,0,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,1,2,2,2,2,2,2,0,0,3,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,4,0,6,7,0, ,0,11,12,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,0,4,2,4,2,3,3,3,4,4,4,4,4,3,3,3,3,4,3,3,3,4,3,4,3,3,4,322
3,3,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,1,2,1,1,0,0,0,0,5,0,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,1,2,2,2,2,2,2,0,0,3,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,4,0,6,7,0, ,0,11,12,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,0,4,2,4,2,3,3,3,4,4,4,4,4,3,3,3,3,4,3,3,3,4,3,4,3,3,4,323
9,9,5,5,4,4,4,4,2,3,9,9,3,9,3,3,4,2,2,9,2,2,9,2,3,4,3,3,3,3,3,2,0,2,0,0,0,0,0,0,0,4,5,4,4,4,4,9,4,4,4,9,3,3,9,3,9,9,9,3,9,9,9,9,9,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,20,0,0,0,0,3,4,4,4,9,9,9,2,2,2,4,3,9,9,9,2,4,9,9,2,9,9,3,9,9,3,324
9,9,5,5,4,4,4,4,2,3,9,9,3,9,3,3,4,2,2,9,2,2,9,2,3,4,3,3,3,3,3,2,0,2,0,0,0,0,0,0,0,4,5,4,4,4,4,9,4,4,4,9,3,3,9,3,9,9,9,3,9,9,9,9,9,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,20,0,0,0,0,3,4,4,4,9,9,9,2,2,2,4,3,9,9,9,2,4,9,9,2,9,9,3,9,9,3,325
5,5,3,3,3,3,3,3,3,2,3,4,3,3,3,3,4,4,2,2,3,2,2,2,2,2,3,3,3,3,3,1,1,2,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,4,2,4,4,1,2,2,2,2,2,2,1,0,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0, ,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,4,4,3,2,2,2,2,2,2,2,9,0,4,3,0,3,3,3,3,3,3,3,3,3,3,2,326
4,4,4,3,4,4,4,4,3,4,4,4,4,9,4,4,9,3,4,9,4,4,9,3,3,4,3,4,3,4,4,2,0,2,0,0,0,0,0,0,0,4,3,3,4,3,4,4,3,3,3,3,3,2,3,4,4,9,9,9,9,9,9,9,9,4,4,4,3,1,1,1,9,9,9,1,0,0,3,4,0,0,0,0,0,0,0,12,0,0,0,16,17,0,19,0,0,0,0,0,4,0,0,7,0, ,0,0,12,0,0,0,4,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,3,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,4,327
4,4,5,2,5,3,5,5,5,5,5,3,5,4,3,4,3,4,3,3,3,5,3,2,4,5,2,1,1,3,3,2,0,1,1,0,0,0,0,0,0,3,3,4,3,2,5,3,1,3,5,3,3,3,2,3,3,3,3,4,1,1,1,3,5,5,4,2,5,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,23,0,3,1,3,3,1,1,5,5,5,5,5,5,3,5,4,4,3,4,3,3,4,5,4,5,3,1,328
5,3,3,1,2,2,2,9,2,9,3,2,5,5,4,4,1,1,1,9,9,4,9,3,3,1,3,4,3,4,4,2,0,1,1,0,0,0,0,0,0,4,4,2,5,4,4,2,1,1,3,3,2,3,9,1,2,9,9,9,9,9,9,9,9,4,5,3,4,1,1,1,1,1,2,1,0,2,3,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,19,0,21,0,0,0,4,0,0,0,0, ,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,2,1,3,9,9,9,9,3,9,4,4,9,9,9,3,4,9,9,9,9,9,4,9,3,1,329
9,9,9,2,4,2,3,4,4,4,4,4,4,9,4,2,4,2,2,2,9,0,9,2,1,3,3,4,4,2,2,2,0,2,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,4,5,0,0,0, ,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,0,0,3,3,3,4,2,2,2,4,2,2,2,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,330
5,5,5,5,3,3,4,4,3,3,4,9,4,4,9,9,9,4,9,9,9,4,9,1,5,2,3,3,2,2,4,2,0,2,0,0,0,0,0,0,0,5,5,9,3,4,4,9,3,5,5,2,3,5,9,4,3,3,3,2,4,4,3,5,3,5,5,4,4,2,0,0,0,0,0,0,0,2,3,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,19,0,0,0,0,3,0,0,0,7,0, ,0,11,0,0,0,0,4,0,0,7,0,0,0,11,0,0,0,15,0,17,0,0,0,0,0,0,0,5,5,3,5,3,5,4,3,4,3,3,5,9,9,9,4,4,5,3,9,9,3,5,4,9,4,331
9,9,1,1,3,3,4,3,9,9,9,9,3,9,3,3,4,9,9,9,9,9,9,4,4,4,2,1,2,3,1,2,0,2,0,0,0,0,0,0,0,9,9,9,5,9,2,9,3,3,3,5,9,2,9,2,9,9,9,3,9,9,9,9,9,9,9,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,20,0,0,0,3,0,0,0,0,0,9,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,0,0,0,4,2,5,4,9,9,9,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,332
9,9,1,1,3,3,4,3,9,9,9,9,3,9,3,3,4,9,9,9,9,9,9,4,4,4,2,1,2,3,1,2,0,2,0,0,0,0,0,0,0,9,9,9,5,9,2,9,3,3,3,5,9,2,9,2,9,9,9,3,9,9,9,9,9,9,9,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,20,0,0,0,3,0,0,0,0,0,9,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,0,0,0,4,2,5,4,9,9,9,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,333
4,4,4,3,3,3,3,9,4,4,4,9,4,4,3,3,4,3,3,3,3,4,4,9,3,3,3,3,4,4,4,2,0,2,0,0,0,0,0,0,0,4,4,4,3,9,9,4,3,4,3,3,9,9,9,9,4,9,9,4,9,9,9,9,9,4,3,4,4,1,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,0,0,0,0,3,4,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,4,4,4,3,9,9,9,4,4,4,3,9,9,9,9,9,4,9,9,9,4,9,4,9,9,3,334
5,4,3,3,3,4,2,2,3,4,4,4,4,3,1,3,2,2,4,3,4,3,3,2,4,1,9,3,9,3,4,2,0,2,0,0,0,0,0,0,0,4,3,2,4,2,2,9,4,4,3,1,4,9,9,1,2,9,9,9,9,9,9,9,9,0,0,0,0,1,1,1,1,1,1,1,0,0,3,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,7,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,1,9,9,9,9,4,9,9,4,335
5,4,3,3,3,4,2,2,3,4,4,4,4,3,1,3,2,2,4,3,4,3,3,2,4,1,9,3,9,3,4,2,0,2,0,0,0,0,0,0,0,4,3,2,4,2,2,9,4,4,3,1,4,9,9,1,2,9,9,9,9,9,9,9,9,0,0,0,0,1,1,1,1,1,1,1,0,0,3,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,7,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,1,9,9,9,9,4,9,9,4,336
3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,2,0,2,0,0,0,0,0,0,0,4,4,3,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0, ,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,337
4,4,4,3,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,2,1,3,4,2,0,1,1,0,0,0,0,0,0,5,5,5,5,5,5,5,9,4,9,9,9,4,4,4,4,9,9,9,9,9,9,9,4,0,0,0,0,1,1,1,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,3,4,0,0,0,0, ,0,0,12,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,5,5,5,9,9,9,5,4,5,9,9,9,9,9,9,9,9,9,9,4,4,4,4,9,4,338
0,0,0,0,0,4,5,5,4,3,5,0,5,5,5,5,5,4,3,4,4,4,4,4,4,5,1,1,1,1,3,2,0,2,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,3,5,3,3,3,4,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,9,9,9,3,3,4,5,9,0,0,0,0,0,4,0,0,4,4,4,4,4,4,339
3,9,3,2,9,3,3,2,4,4,3,9,5,9,3,4,5,2,9,9,9,5,9,2,4,4,3,2,3,2,2,2,0,2,0,0,0,0,0,0,0,2,4,4,5,9,9,9,4,4,3,9,1,9,9,3,9,9,9,3,9,9,9,9,9,9,9,9,9,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,19,0,0,0,0,3,0,5,0,0,0, ,0,0,0,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,9,9,9,9,3,4,9,9,5,9,9,9,9,5,9,9,9,9,9,3,9,9,3,340
4,4,3,2,3,3,5,5,5,4,4,4,4,5,3,4,5,3,3,2,4,4,5,3,4,5,1,3,2,3,3,2,0,1,2,0,0,0,0,5,0,4,4,3,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,1,1,1,1,1,1,1,0,0,3,4,0,0,7,0,0,0,0,12,13,0,0,16,0,0,0,0,0,0,0,3,4,0,0,7,0, ,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,4,4,4,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,0,0,4,4,4,4,4,4,341
3,3,3,3,2,1,1,3,2,2,2,3,3,3,2,3,3,1,1,1,2,2,2,2,3,2,3,3,3,4,4,2,0,2,0,0,0,0,0,0,0,2,2,9,3,2,4,3,3,3,3,3,4,3,2,9,9,9,9,3,2,9,9,9,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14,0,0,0,18,0,0,0,0,0,0,1,1,1,3,9,9,9,2,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,342
3,3,3,3,2,1,1,3,2,2,2,3,3,3,2,3,3,1,1,1,2,2,2,2,3,2,3,3,3,4,4,2,0,2,0,0,0,0,0,0,0,2,2,9,3,2,4,3,3,3,3,3,4,3,2,9,9,9,9,3,2,9,9,9,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14,0,0,0,18,0,0,0,0,0,0,1,1,1,3,9,9,9,2,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,343
5,5,4,5,4,3,4,5,3,3,9,9,4,4,4,3,4,2,2,9,9,9,9,3,3,4,3,2,3,2,2,2,0,1,1,0,0,0,0,0,0,5,4,4,5,5,5,4,4,4,9,9,5,4,4,4,5,5,5,5,4,4,9,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,7,0,9,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,4,5,0,7,0, ,0,11,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,5,5,5,4,4,4,4,4,5,5,4,4,9,5,4,9,9,9,9,9,9,9,9,9,9,5,344
